tok	miss	routed	M	coldGate	totGate	margin	coldW
800	36	320	1	-144.39648	-1248.9658	6.796875	3.754237
801	40	320	1	-165.53125	-1327.8613	5.53125	4.894792
802	54	320	1	-224.92969	-1282.7578	3.015625	6.0690603
803	28	320	1	-108.33008	-1270.625	7.9296875	3.2991533
804	97	320	1	-346.3418	-1243.7754	9.171875	12.0994005
805	56	320	1	-224.25781	-1283.582	2.640625	6.560767
806	48	320	1	-189.20801	-1305.9434	7.4609375	5.871314
807	60	320	1	-250.13672	-1339.0391	6.46875	7.303447
808	67	320	1	-275.75195	-1331.1152	8.265625	8.179157
809	46	320	1	-192.55469	-1332.6992	5.796875	5.409317
810	670	5440	17	0.0	0.0	6.6875	0.0
811	55	320	1	-224.91797	-1337.6055	8.34375	6.4169526
812	85	320	1	-355.3789	-1363.5332	6.390625	10.907755
813	70	320	1	-243.625	-1206.7109	7.921875	8.973366
814	711	5440	17	0.0	0.0	4.21875	0.0
815	46	320	1	-189.82422	-1321.5596	7.5546875	5.3797617
816	110	320	1	-439.14844	-1343.0605	6.328125	14.82321
817	59	320	1	-248.99219	-1342.8154	5.484375	6.972781
818	69	320	1	-288.94336	-1349.8018	7.984375	8.376749
819	837	5120	16	0.0	0.0	6.6640625	0.0
821	38	320	1	-154.95703	-1294.4512	6.859375	3.9417253
822	31	320	1	-129.0918	-1293.3076	5.8125	3.4432745
823	32	320	1	-133.66211	-1324.7266	7.984375	3.680995
824	36	320	1	-145.17773	-1315.543	7.8203125	4.3378673
825	51	320	1	-210.2461	-1339.2656	8.1328125	6.6152606
826	52	320	1	-214.72852	-1336.2656	8.234375	6.4895687
827	111	320	1	-381.4463	-1196.54	7.546875	13.971456
828	50	320	1	-202.97461	-1313.5703	2.6875	5.926913
829	15	320	1	-50.410156	-1186.1279	4.453125	2.0003734
830	16	320	1	-62.257812	-1241.1982	5.609375	1.7881687
831	18	320	1	-72.9707	-1318.3027	2.390625	2.0400927
832	39	320	1	-156.16406	-1307.9512	1.703125	4.9317155
833	50	320	1	-179.50684	-1241.9102	1.046875	7.203011
834	11	320	1	-42.734375	-1241.2188	4.5625	1.2029411
835	8	320	1	-32.19336	-1286.4902	4.359375	0.694034
836	32	320	1	-121.3457	-1309.0547	6.5234375	4.001845
837	33	320	1	-123.990234	-1275.0654	6.8203125	4.0930095
838	25	320	1	-101.54883	-1290.2598	5.65625	2.8997006
839	31	320	1	-119.728516	-1296.1992	7.328125	3.8774455
840	45	320	1	-185.24414	-1326.4453	5.375	5.213488
841	47	320	1	-187.85547	-1310.9609	6.78125	5.640181
842	51	320	1	-209.48828	-1311.4375	6.671875	5.95247
843	90	320	1	-346.90527	-1251.0293	9.1484375	10.898826
844	45	320	1	-178.42578	-1277.0586	5.40625	5.059681
845	385	5440	17	0.0	0.0	7.65625	0.0
847	24	320	1	-100.67969	-1305.7539	6.5625	2.509818
848	29	320	1	-117.921875	-1310.8838	6.703125	3.5770915
849	31	320	1	-129.95508	-1327.6357	7.0859375	3.9272187
850	19	320	1	-76.634766	-1250.0986	7.78125	1.9675826
851	23	320	1	-94.78516	-1309.2363	7.2890625	3.0397818
852	20	320	1	-68.3291	-1133.1719	3.25	2.2263331
853	684	5440	17	0.0	0.0	8.7578125	0.0
855	730	8000	25	0.0	0.0	6.03125	0.0
859	94	320	1	-322.09668	-1173.2295	0.828125	13.187718
860	116	320	1	-402.48828	-1235.4238	0.5625	19.22404
861	133	320	1	-466.35352	-1202.0586	0.015625	18.506088
862	60	320	1	-205.65234	-1193.0059	1.9375	7.9972286
863	22	320	1	-80.958984	-1145.7188	9.203125	2.4937115
864	29	320	1	-119.15234	-1302.1494	0.453125	3.3343382
865	119	320	1	-440.8164	-1238.4062	0.15625	16.66908
866	86	320	1	-316.00586	-1184.916	1.2265625	9.828396
867	52	320	1	-198.02734	-1236.624	1.5	6.310636
868	41	320	1	-160.91016	-1310.2637	5.109375	5.193663
869	1013	5440	17	0.0	0.0	1.015625	0.0
871	68	320	1	-249.5918	-1261.5166	4.5625	8.704863
872	25	320	1	-91.103516	-1185.3818	8.375	3.1612282
873	21	320	1	-86.208984	-1296.7002	0.5	2.4066343
874	37	320	1	-148.83203	-1284.5234	5.328125	4.1469927
875	21	320	1	-79.109375	-1309.6523	5.984375	2.595424
876	25	320	1	-101.63867	-1312.1133	4.921875	3.0224154
877	537	5440	17	0.0	0.0	6.21875	0.0
881	22	320	1	-90.09375	-1277.4883	5.265625	2.3474855
882	21	320	1	-77.35742	-1249.2568	7.90625	3.046944
883	29	320	1	-117.0	-1334.7334	5.453125	3.7931724
884	13	320	1	-52.248047	-1310.4961	4.265625	1.5133908
885	596	5440	17	0.0	0.0	5.40625	0.0
889	22	320	1	-91.57031	-1334.7588	5.9375	2.7162828
890	35	320	1	-128.14941	-1271.9834	7.046875	4.8145604
891	43	320	1	-168.82031	-1273.3867	1.859375	5.9634457
892	67	320	1	-271.6836	-1368.8359	6.6484375	8.922549
893	660	5440	17	0.0	0.0	6.875	0.0
899	36	320	1	-143.41602	-1272.6797	6.75	3.8918447
900	46	320	1	-175.33203	-1261.7109	8.03125	5.028858
901	56	320	1	-236.16016	-1366.9766	7.375	7.063739
902	73	320	1	-301.99023	-1338.6387	6.390625	9.045659
903	780	5440	17	0.0	0.0	5.078125	0.0
908	33	320	1	-133.58789	-1298.0605	6.828125	3.585971
909	28	320	1	-109.60742	-1300.6914	5.28125	3.632488
910	44	320	1	-186.31445	-1356.0938	6.703125	5.764283
911	99	320	1	-318.95215	-1041.3945	10.953125	12.459232
912	676	5440	17	0.0	0.0	8.015625	0.0
914	592	5440	17	0.0	0.0	1.34375	0.0
915	20	320	1	-84.359375	-1354.4707	6.96875	2.4745553
916	834	5440	17	0.0	0.0	4.59375	0.0
917	36	320	1	-147.70117	-1327.9082	7.6875	4.4973626
918	908	5440	17	0.0	0.0	6.484375	0.0
929	14	320	1	-53.50586	-1259.2002	5.953125	1.5378833
930	10	320	1	-41.95508	-1339.7207	6.0	1.1603162
931	22	320	1	-93.27539	-1311.7422	1.875	2.5191066
932	17	320	1	-65.76465	-1308.3545	7.8984375	2.015162
933	462	5440	17	0.0	0.0	9.859375	0.0
935	1100	8000	25	0.0	0.0	7.90625	0.0
952	17	320	1	-72.2793	-1346.1182	5.34375	2.040223
953	20	320	1	-79.47266	-1342.7188	8.3125	2.5648513
954	23	320	1	-94.67969	-1349.0098	7.234375	2.9516313
955	27	320	1	-115.85742	-1373.5195	8.390625	3.1287985
956	537	5440	17	0.0	0.0	9.3203125	0.0
958	20	320	1	-75.60156	-1168.6074	5.796875	2.2704298
959	433	5440	17	0.0	0.0	1.46875	0.0
960	126	320	1	-450.95898	-1211.7471	0.71875	18.048882
961	149	320	1	-525.55273	-1200.2031	1.96875	20.644762
962	75	320	1	-257.68262	-1196.96	0.75	10.484191
963	20	320	1	-71.94531	-1136.4658	7.8359375	2.4931858
964	29	320	1	-117.54492	-1320.252	0.96875	3.8435116
965	86	320	1	-314.25977	-1227.2266	5.859375	11.009592
966	100	320	1	-347.17578	-1162.4141	0.0625	13.421633
967	100	320	1	-356.24414	-1213.0508	0.203125	13.950827
968	122	320	1	-411.3418	-1181.0527	1.53125	17.96476
969	67	320	1	-237.60938	-1252.7969	3.078125	10.316316
970	92	320	1	-334.52734	-1236.1699	6.46875	14.227659
971	86	320	1	-330.00977	-1294.7646	3.484375	11.621382
972	1418	5440	17	0.0	0.0	2.984375	0.0
984	28	320	1	-101.52734	-1194.5195	8.0546875	3.5641286
985	38	320	1	-151.99414	-1314.3779	2.8125	5.0147314
986	25	320	1	-97.21289	-1286.1582	2.0	3.2135901
987	65	320	1	-253.3164	-1313.1211	5.015625	9.157397
988	59	320	1	-225.70215	-1306.043	7.140625	8.228674
989	58	320	1	-225.70898	-1343.7324	6.28125	7.8886414
990	48	320	1	-186.67773	-1278.8428	4.84375	5.9484344
991	86	320	1	-338.17188	-1319.5957	4.40625	12.160126
992	96	320	1	-335.63477	-1218.9121	1.921875	14.232598
993	35	320	1	-134.1582	-1287.916	8.4921875	4.918813
994	36	320	1	-144.72656	-1344.0791	3.625	4.8167133
995	41	320	1	-162.84766	-1322.4414	0.25	5.6111245
996	541	5440	17	0.0	0.0	0.328125	0.0
999	70	320	1	-260.4541	-1277.292	3.84375	10.204377
1000	64	320	1	-253.81836	-1343.0273	3.453125	8.812605
1001	87	320	1	-340.1172	-1301.4111	6.6875	12.43554
1002	88	320	1	-351.0078	-1331.5039	5.71875	12.317342
1003	111	320	1	-424.50586	-1287.916	2.78125	15.675603
1004	41	320	1	-164.13672	-1304.4883	9.984375	5.5628543
1005	35	320	1	-143.32031	-1348.9102	5.015625	4.6667943
1006	24	320	1	-94.0957	-1295.0508	2.9375	2.9998844
1007	568	5440	17	0.0	0.0	3.328125	0.0
1008	75	320	1	-284.95508	-1290.0723	4.3125	10.520655
1009	45	320	1	-179.51562	-1293.6211	5.21875	5.5240865
1010	35	320	1	-144.01172	-1316.2041	8.7109375	4.555144
1011	29	320	1	-116.990234	-1352.1504	7.546875	4.170087
1012	32	320	1	-129.86914	-1303.8438	3.390625	3.9095805
1013	61	320	1	-240.08203	-1312.4492	5.96875	8.757043
1014	89	320	1	-336.05762	-1281.1309	3.28125	12.631528
1015	80	320	1	-308.18164	-1283.5312	1.875	10.773708
1016	30	320	1	-121.94922	-1343.3594	5.171875	4.1640587
1017	54	320	1	-217.8086	-1368.3145	5.8125	7.8652716
1018	78	320	1	-300.9131	-1288.9033	3.828125	10.8878975
1019	83	320	1	-328.17578	-1324.0254	3.953125	11.895673
1020	115	320	1	-437.33984	-1285.8223	1.859375	16.46737
1021	82	320	1	-317.07422	-1308.0801	0.703125	11.388121
1022	69	320	1	-285.49512	-1352.3467	6.875	8.593835
1023	126	320	1	-470.8828	-1262.4395	0.828125	17.906668
1024	83	320	1	-318.83203	-1280.3145	5.046875	11.259061
1025	40	320	1	-159.66406	-1315.2441	5.140625	5.2314897
1026	79	320	1	-309.5039	-1328.0684	6.734375	11.484777
1027	86	320	1	-323.5078	-1278.083	5.1875	11.836187
1028	77	320	1	-298.65234	-1300.0469	4.015625	10.654418
1029	85	320	1	-330.08984	-1279.7754	1.203125	10.806466
1030	55	320	1	-219.45117	-1327.2793	6.03125	7.330479
1031	45	320	1	-182.4668	-1351.4492	7.015625	5.9539304
1032	58	320	1	-227.29102	-1280.3096	3.140625	6.7705116
1033	39	320	1	-155.57031	-1321.7139	0.015625	5.1020575
1034	47	320	1	-199.89453	-1350.332	7.53125	5.5214305
1035	52	320	1	-207.89648	-1318.4746	7.03125	6.4843807
1036	51	320	1	-201.39648	-1285.3604	7.1015625	6.0321493
1037	62	320	1	-247.34961	-1303.0498	4.375	7.8232574
1038	67	320	1	-263.19922	-1309.0801	3.796875	9.011974
1039	48	320	1	-186.24805	-1306.418	6.046875	5.7774577
1040	68	320	1	-276.6914	-1315.0127	3.96875	8.383018
1041	50	320	1	-199.625	-1335.4766	1.375	6.5430098
1042	914	5440	17	0.0	0.0	6.203125	0.0
1056	38	320	1	-155.36719	-1334.7324	7.359375	4.640631
1057	736	5440	17	0.0	0.0	6.265625	0.0
1058	55	320	1	-219.3125	-1302.9111	8.09375	6.6608043
1059	65	320	1	-251.1709	-1344.5791	6.015625	9.743926
1060	38	320	1	-162.20703	-1394.4492	7.734375	5.16439
1061	44	320	1	-178.67969	-1333.3945	7.0	5.1870055
1062	35	320	1	-142.16211	-1333.2607	6.5	4.176707
1063	42	320	1	-176.17969	-1371.2539	4.71875	5.1022973
1064	40	320	1	-160.71289	-1302.5488	7.2265625	4.8816557
1065	53	320	1	-217.8125	-1355.2461	4.640625	6.214138
1066	47	320	1	-194.26758	-1307.8477	7.5390625	5.010394
1067	43	320	1	-172.85156	-1327.334	7.015625	5.585267
1068	759	5440	17	0.0	0.0	8.59375	0.0
1071	27	320	1	-108.78906	-1309.5273	8.234375	3.3799074
1072	53	320	1	-210.1543	-1371.7715	7.328125	7.4499717
1073	72	320	1	-288.42578	-1336.5781	4.578125	9.337435
1074	51	320	1	-214.91016	-1386.873	9.25	6.817234
1075	701	5440	17	0.0	0.0	6.015625	0.0
1076	31	320	1	-129.12305	-1330.4482	5.15625	3.41245
1077	41	320	1	-172.42969	-1370.4209	5.875	5.0382595
1078	42	320	1	-175.32422	-1341.5645	9.0859375	5.085933
1079	352	5440	17	0.0	0.0	6.1875	0.0
1080	22	320	1	-90.46094	-1322.9336	7.875	2.6357102
1081	37	320	1	-148.45898	-1354.4551	5.265625	5.023784
1082	51	320	1	-206.61719	-1360.3594	4.21875	7.1928205
1083	40	320	1	-158.13281	-1354.5762	5.5625	5.391227
1084	844	5440	17	0.0	0.0	9.3828125	0.0
1101	937	8000	25	0.0	0.0	6.421875	0.0
1102	43	320	1	-172.3418	-1324.6592	9.015625	5.396144
1103	56	320	1	-217.73535	-1385.2764	8.21875	9.216004
1104	68	320	1	-292.74023	-1409.1914	8.9375	9.106747
1105	31	320	1	-120.04297	-1262.0762	6.953125	3.6212182
1106	40	320	1	-165.87695	-1336.5312	6.34375	4.451642
1107	52	320	1	-221.03125	-1366.9688	4.21875	6.2162437
1108	45	320	1	-179.35938	-1299.6328	6.65625	5.3364224
1109	58	320	1	-242.63477	-1372.7734	6.46875	7.1173587
1110	52	320	1	-210.69922	-1222.4639	7.1953125	4.832872
1111	42	320	1	-171.17969	-1353.1836	7.9375	5.6226277
1112	712	5440	17	0.0	0.0	8.578125	0.0
1115	32	320	1	-132.04492	-1333.8203	8.3125	3.899869
1116	52	320	1	-213.32617	-1400.8896	8.1875	6.8028016
1117	66	320	1	-271.93945	-1369.1172	5.0	8.2909355
1118	71	320	1	-297.1914	-1388.3398	9.5	9.295005
1119	778	5440	17	0.0	0.0	6.8359375	0.0
1120	28	320	1	-117.73633	-1379.6123	6.625	3.3373218
1121	51	320	1	-215.94727	-1398.1768	8.078125	6.6315937
1122	41	320	1	-162.5918	-1337.9531	9.3203125	5.106876
1123	49	320	1	-179.39648	-1202.5146	5.734375	5.587949
1124	24	320	1	-100.74219	-1360.4629	7.4140625	2.983188
1125	51	320	1	-213.20703	-1350.2305	6.390625	6.2050467
1126	60	320	1	-248.84375	-1386.1445	7.71875	8.115214
1127	61	320	1	-251.79492	-1386.5957	5.6875	7.9341426
1128	968	5440	17	0.0	0.0	10.2578125	0.0
1145	1069	8000	25	0.0	0.0	7.734375	0.0
1146	37	320	1	-144.3086	-1302.1836	9.8671875	4.842285
1147	58	320	1	-229.53809	-1387.8506	9.5078125	9.171853
1148	69	320	1	-297.65234	-1416.4668	8.171875	9.461901
1149	27	320	1	-102.11914	-1279.0859	6.625	3.5150826
1150	29	320	1	-115.69336	-1330.582	6.09375	3.5700228
1151	54	320	1	-231.39648	-1389.8145	6.234375	6.6739554
1152	44	320	1	-176.41992	-1318.4785	8.109375	5.42564
1153	71	320	1	-300.2578	-1385.0078	6.90625	8.522178
1154	48	320	1	-189.03125	-1232.9551	7.71875	4.8821406
1155	51	320	1	-211.85352	-1386.5605	7.90625	6.691416
1156	830	5440	17	0.0	0.0	9.4921875	0.0
1159	23	320	1	-96.103516	-1331.6406	8.859375	2.7249513
1160	52	320	1	-216.40527	-1413.1279	9.984375	6.758377
1161	50	320	1	-208.38281	-1391.3047	8.171875	6.033423
1162	65	320	1	-270.01562	-1386.9902	9.4140625	8.508227
1163	662	5440	17	0.0	0.0	7.1875	0.0
