tok	miss	routed	M	coldGate	totGate	margin
159	120	320	1	-410.6709	-1176.8174	1.2421875
160	257	640	2	0.0	0.0	0.8125
162	276	640	2	0.0	0.0	1.21875
164	288	640	2	0.0	0.0	2.609375
166	300	640	2	0.0	0.0	3.4375
168	313	640	2	0.0	0.0	3.703125
170	346	640	2	0.0	0.0	4.015625
172	344	640	2	0.0	0.0	4.484375
174	344	640	2	0.0	0.0	4.5
176	316	640	2	0.0	0.0	4.6875
178	334	640	2	0.0	0.0	5.0
180	346	640	2	0.0	0.0	4.6875
182	351	640	2	0.0	0.0	5.09375
184	329	640	2	0.0	0.0	5.234375
186	303	640	2	0.0	0.0	5.953125
188	344	640	2	0.0	0.0	5.453125
190	648	1280	4	0.0	0.0	5.8359375
194	1386	2560	8	0.0	0.0	5.8046875
202	2891	5120	16	0.0	0.0	5.8359375
218	4611	8000	25	0.0	0.0	6.2734375
243	4837	8000	25	0.0	0.0	7.203125
268	4899	8000	25	0.0	0.0	7.8984375
293	808	8000	25	0.0	0.0	4.90625
318	1111	8000	25	0.0	0.0	5.7421875
343	1261	8000	25	0.0	0.0	6.640625
368	1276	8000	25	0.0	0.0	7.421875
393	1446	8000	25	0.0	0.0	7.0859375
418	1469	8000	25	0.0	0.0	8.2890625
443	292	8000	25	0.0	0.0	8.21875
468	446	8000	25	0.0	0.0	8.65625
493	440	8000	25	0.0	0.0	7.3984375
518	345	8000	25	0.0	0.0	8.84375
543	427	8000	25	0.0	0.0	8.640625
568	433	8000	25	0.0	0.0	8.984375
593	303	8000	25	0.0	0.0	8.359375
618	209	8000	25	0.0	0.0	8.484375
643	222	8000	25	0.0	0.0	9.5546875
668	220	8000	25	0.0	0.0	9.5390625
693	258	8000	25	0.0	0.0	9.4609375
718	233	8000	25	0.0	0.0	9.4765625
743	126	8000	25	0.0	0.0	9.75
768	62	8000	25	0.0	0.0	9.1875
793	71	8000	25	0.0	0.0	9.8046875
818	82	8000	25	0.0	0.0	9.8671875
843	41	8000	25	0.0	0.0	9.984375
868	80	8000	25	0.0	0.0	10.109375
893	60	8000	25	0.0	0.0	9.9453125
918	55	8000	25	0.0	0.0	9.8125
943	176	8000	25	0.0	0.0	10.265625
968	104	8000	25	0.0	0.0	10.65625
993	143	8000	25	0.0	0.0	11.0546875
