tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
912	676	5440	17	0.0	0.0	8.015625	0.0	0.022119377	198:23.609375,8:15.59375,25:15.4921875,220:15.3203125,26:14.7734375,271:14.4375,13:14.34375,15:13.96875
914	592	5440	17	0.0	0.0	1.34375	0.0	0.53168935	2796:24.4375,13881:23.09375,413:16.984375,585:16.90625,1287:16.15625,9013:15.9296875,653:15.75,264:15.71875
915	20	320	1	-84.359375	-1354.4707	6.96875	2.4745553	0.03639166	957:22.453125,11:15.484375,3681:15.328125,58:14.8046875,25:13.8828125,1889:13.5703125,1089:13.1484375,72:13.1015625
916	834	5440	17	0.0	0.0	4.59375	0.0	0.118465	1089:22.078125,60:17.484375,11:15.7421875,25:15.2109375,10:14.859375,478:14.375,681:14.328125,906:13.875
917	36	320	1	-147.70117	-1327.9082	7.6875	4.4973626	0.013105672	2796:23.75,283:16.0625,1082:15.46875,771:14.7109375,492:14.578125,498:14.1875,1287:13.34375,220:13.1953125
918	908	5440	17	0.0	0.0	6.484375	0.0	0.030205155	3681:22.25,957:15.765625,58:13.8125,283:13.25,73:13.171875,498:12.7421875,33333:12.703125,89665:12.6796875
929	14	320	1	-53.50586	-1259.2002	5.953125	1.5378833	0.068489134	2796:23.921875,13881:17.96875,653:17.046875,460:16.5625,25212:16.328125,42398:16.203125,585:16.078125,1238:15.84375
930	10	320	1	-41.95508	-1339.7207	6.0	1.1603162	0.028874159	957:23.171875,58:17.171875,3681:14.4453125,11:14.25,46135:13.453125,43897:13.2734375,1889:13.2578125,498:13.0078125
931	22	320	1	-93.27539	-1311.7422	1.875	2.5191066	0.408585	478:21.765625,10:19.890625,1089:14.8671875,25:12.796875,60:12.59375,16:12.390625,220:12.2265625,471:11.5703125
932	17	320	1	-65.76465	-1308.3545	7.8984375	2.015162	0.01715829	220:22.984375,1496:15.0859375,16:14.9296875,585:14.46875,3238:13.671875,478:13.46875,1089:12.96875,10339:12.703125
933	462	5440	17	0.0	0.0	9.859375	0.0	0.002558566	16:22.765625,17:12.90625,220:12.09375,15:12.0234375,19:11.4140625,1925:11.0703125,18:10.84375,20:10.734375
935	1100	8000	25	0.0	0.0	7.90625	0.0	0.011058931	2796:24.296875,283:16.390625,498:15.796875,25212:15.015625,771:14.7578125,1287:14.734375,220:13.6015625,1496:13.4453125
952	17	320	1	-72.2793	-1346.1182	5.34375	2.040223	0.069166064	460:23.359375,25212:18.015625,1061:15.5703125,3301:15.4296875,4523:14.9921875,13428:14.890625,585:14.65625,52451:14.3359375
953	20	320	1	-79.47266	-1342.7188	8.3125	2.5648513	0.01989178	585:23.21875,318:14.90625,220:14.8359375,492:14.2421875,1496:14.21875,478:13.984375,1857:13.859375,25212:13.484375
954	23	320	1	-94.67969	-1349.0098	7.234375	2.9516313	0.011071225	478:24.140625,10:16.90625,271:15.1875,220:14.484375,471:14.453125,283:13.890625,13:13.34375,198:13.2421875
955	27	320	1	-115.85742	-1373.5195	8.390625	3.1287985	0.008409342	220:23.234375,271:14.84375,16:13.7265625,585:13.703125,1496:13.2109375,198:12.9609375,318:12.53125,471:12.4921875
956	537	5440	17	0.0	0.0	9.3203125	0.0	0.00310428	16:23.484375,17:14.1640625,271:13.1640625,15:13.1484375,220:13.046875,198:12.359375,22:11.6640625,18:11.359375
958	20	320	1	-75.60156	-1168.6074	5.796875	2.2704298	0.053623624	256:21.921875,1919:16.125,9175:14.3046875,1061:13.640625,220:12.8671875,71093:12.75,262:12.4296875,9405:12.3515625
959	433	5440	17	0.0	0.0	1.46875	0.0	1.5077165	1061:20.734375,7179:19.265625,38643:18.265625,52451:17.25,20457:16.828125,5183:16.671875,4844:16.53125,13428:16.421875
960	126	320	1	-450.95898	-1211.7471	0.71875	18.048882	1.8003492	4138:19.390625,369:18.671875,579:16.859375,5686:15.84375,4523:15.7421875,411:15.7265625,4816:15.3984375,668:15.203125
961	149	320	1	-525.55273	-1200.2031	1.96875	20.644762	0.75197315	13:22.203125,0:20.234375,30:18.8125,4138:17.078125,364:16.953125,12083:16.765625,680:16.75,25:16.609375
962	75	320	1	-257.68262	-1196.96	0.75	10.484191	2.5423548	198:19.4375,271:18.6875,6558:18.6875,1921:18.21875,38643:17.546875,1049:17.21875,3984:16.359375,7441:16.296875
963	20	320	1	-71.94531	-1136.4658	7.8359375	2.4931858	0.018332938	256:22.578125,5690:14.7421875,220:14.03125,6558:13.390625,17:13.0546875,71093:12.953125,9764:12.78125,262:12.703125
964	29	320	1	-117.54492	-1320.252	0.96875	3.8435116	2.810208	6558:19.296875,1921:18.328125,5183:18.25,82930:18.046875,10041:17.84375,13428:17.546875,696:17.09375,4844:16.421875
965	86	320	1	-314.25977	-1227.2266	5.859375	11.009592	0.059298307	579:21.609375,728:15.75,1228:14.9765625,914:14.8359375,11319:12.6796875,6:12.453125,25:12.3671875,3172:12.2890625
966	100	320	1	-347.17578	-1162.4141	0.0625	13.421633	1.1448355	1228:21.515625,11319:21.453125,1923:17.328125,8785:17.28125,1716:17.140625,3165:17.046875,9845:16.859375,958:16.65625
967	100	320	1	-356.24414	-1213.0508	0.203125	13.950827	2.6158054	440:18.390625,11319:18.1875,25:17.875,424:17.734375,32122:17.125,8785:17.078125,498:16.609375,2796:16.21875
968	122	320	1	-411.3418	-1181.0527	1.53125	17.96476	2.7235408	498:19.890625,2796:18.359375,1287:18.125,3010:17.765625,25:17.625,424:17.625,8785:17.59375,3238:17.21875
969	67	320	1	-237.60938	-1252.7969	3.078125	10.316316	1.086834	20:21.9375,19:18.859375,16:18.75,18:18.71875,22:18.625,17:18.515625,24:18.0,21:17.96875
970	92	320	1	-334.52734	-1236.1699	6.46875	14.227659	0.048534352	11:24.0625,15:17.59375,220:17.03125,13:16.734375,19:16.375,25:16.375,16:15.9765625,1089:15.6484375
971	86	320	1	-330.00977	-1294.7646	3.484375	11.621382	0.22745903	220:23.125,16:19.640625,19:17.171875,17:16.828125,471:16.71875,22:16.453125,18:15.9375,20:15.203125
972	1418	5440	17	0.0	0.0	2.984375	0.0	0.6088524	16:24.09375,17:21.109375,19:21.0625,22:20.546875,18:19.65625,15:18.671875,21:18.453125,20:18.328125
984	28	320	1	-101.52734	-1194.5195	8.0546875	3.5641286	0.015188559	256:23.296875,5690:15.2421875,9997:15.0390625,3238:14.84375,220:13.5859375,257:13.234375,13:13.1796875,262:13.171875
985	38	320	1	-151.99414	-1314.3779	2.8125	5.0147314	0.7347768	3238:21.359375,25212:18.546875,1496:18.078125,13428:16.984375,585:15.9140625,32645:15.671875,3655:15.4609375,324:15.2421875
986	25	320	1	-97.21289	-1286.1582	2.0	3.2135901	0.45442778	28:21.75,283:19.75,25:16.78125,220:16.296875,11:15.625,15:13.1953125,198:12.8203125,13:12.625
987	65	320	1	-253.3164	-1313.1211	5.015625	9.157397	0.19367182	15:22.453125,19:17.4375,11:17.265625,20:17.265625,11553:16.296875,16:16.1875,220:15.921875,17:15.7734375
988	59	320	1	-225.70215	-1306.043	7.140625	8.228674	0.03179737	11:23.234375,1496:16.09375,13:15.8203125,198:15.4453125,25:14.7890625,318:14.421875,28:14.328125,15:14.03125
989	58	320	1	-225.70898	-1343.7324	6.28125	7.8886414	0.051647708	1496:23.484375,304:17.203125,220:16.84375,11553:16.265625,283:15.125,15131:15.109375,3238:15.0,492:14.5390625
990	48	320	1	-186.67773	-1278.8428	4.84375	5.9484344	0.086901076	28:22.453125,44292:17.609375,283:16.734375,198:14.59375,13:13.953125,12:13.8125,10512:13.34375,19:13.21875
991	86	320	1	-338.17188	-1319.5957	4.40625	12.160126	0.23336416	19:22.484375,20:18.078125,15:17.671875,16:17.3125,18:17.078125,17:16.4375,24:15.8828125,198:15.5703125
