tok	miss	routed	M	coldGate	totGate	margin	coldW	entropy	top8
66	20	320	1	-69.200195	-1205.2822	1.25	2.8757117	1.0944448	8483:23.09375,7806:21.84375,2450:20.03125,18065:19.625,64908:19.59375,9237:18.78125,30731:18.65625,8394:17.921875
67	13	320	1	-43.29004	-1224.6133	1.40625	1.7605922	0.5207061	321:25.84375,314:24.4375,318:20.390625,8394:17.171875,64700:16.359375,198:15.3359375,7806:14.9453125,159029:14.8671875
68	17	320	1	-50.07617	-1209.4502	4.671875	2.005171	0.15405905	279:23.328125,64839:18.65625,41292:17.9375,2383:16.984375,14204:16.90625,20675:15.7734375,32956:15.7109375,27662:15.6171875
69	28	320	1	-102.5166	-1211.1709	0.09375	3.3648622	2.8381598	41292:18.265625,18639:18.171875,2383:16.875,41165:16.8125,64908:16.40625,26898:16.1875,91101:15.9765625,8340:15.796875
70	26	320	1	-90.57422	-1248.9824	0.125	3.7456088	0.8929198	64700:21.9375,159029:21.8125,13:18.96875,318:17.96875,198:16.25,25:16.15625,332:15.9921875,440:15.078125
71	13	320	1	-46.976562	-1246.7949	11.4296875	1.5496958	0.001248902	198:23.765625,271:12.3359375,9:12.234375,16:11.6953125,17:11.328125,220:11.1875,64:11.0,4980:10.625
72	6	320	1	-19.435547	-1120.7627	9.734375	0.8674097	0.0028361704	262:23.734375,348:14.0,256:13.8828125,9:13.59375,285:13.5234375,257:11.4140625,248069:11.34375,17:10.84375
73	27	320	1	-106.06445	-1230.5137	9.984375	2.8905544	0.0010160505	348:26.65625,37728:16.671875,220:15.3828125,198:15.046875,7806:14.5,641:13.5234375,9:13.2734375,29108:12.6328125
74	546	5440	17	0.0	0.0	10.21875	0.0	0.0006429298	256:29.46875,262:19.25,348:18.25,257:16.21875,406:14.7734375,950:14.6875,38663:14.265625,285:14.2109375
76	27	320	1	-97.18359	-1215.2734	1.03125	3.7833622	1.0715088	43098:27.28125,38663:26.25,1536:25.734375,5218:24.921875,40:20.421875,2674:19.75,33214:17.8125,13423:17.796875
77	6	320	1	-22.46289	-1240.4629	5.59375	0.732347	0.04659488	51595:24.75,7806:19.15625,82:17.640625,37728:17.125,220:16.953125,29108:15.625,25:15.328125,64700:15.328125
78	10	320	1	-34.57617	-1211.3379	8.0625	1.0745927	0.0060397633	7806:30.03125,561:21.96875,59224:20.859375,37728:20.8125,29108:19.96875,8394:19.40625,5626:18.65625,38211:18.046875
79	35	320	1	-130.76367	-1188.1533	6.203125	4.3370953	0.042629033	4009:26.234375,369:20.03125,3000:19.171875,3905:18.453125,6486:17.953125,283:17.765625,20653:17.734375,70307:17.703125
80	59	320	1	-205.41602	-1199.21	0.09375	8.350857	1.354784	5435:23.09375,369:23.0,3905:21.71875,682:20.4375,23716:19.734375,5686:19.125,12611:19.0,3520:18.78125
81	73	320	1	-253.97852	-1204.7803	2.640625	10.783154	0.30972975	660:25.75,7736:23.109375,4022:20.109375,46026:18.953125,6105:18.828125,1599:18.78125,10849:18.5,2086:18.21875
82	61	320	1	-212.28711	-1220.169	11.953125	8.564605	0.00023008185	7736:32.78125,46026:20.828125,20391:20.671875,10849:19.265625,9245:19.03125,25303:18.578125,12728:18.296875,32555:17.796875
83	41	320	1	-150.10156	-1206.7412	3.046875	5.0791273	0.382836	13:24.34375,11:21.296875,26:21.28125,318:18.703125,2600:15.1953125,1411:15.015625,593:14.921875,14:14.6328125
84	22	320	1	-74.80664	-1206.2109	0.65625	2.8456225	1.7884705	52022:21.328125,3095:20.671875,7806:20.1875,6350:20.078125,561:19.3125,8394:18.609375,1049:18.1875,5626:17.625
85	56	320	1	-214.57227	-1214.0332	1.265625	7.0540895	1.4795599	1100:19.359375,7771:18.09375,5435:17.140625,682:16.40625,9687:16.375,13653:15.65625,2311:15.5078125,80291:15.0078125
86	144	320	1	-513.0449	-1214.8711	0.765625	21.065586	1.6458153	2311:18.109375,1100:17.34375,69377:15.9609375,35742:14.078125,80291:14.078125,135450:13.8828125,267:13.5546875,7442:13.3828125
87	182	320	1	-631.23535	-1182.8467	0.734375	27.44316	1.4470608	2311:17.984375,1100:17.25,13653:13.6484375,69377:13.546875,267:13.296875,13:13.28125,80291:12.9609375,82:12.78125
88	177	320	1	-624.6338	-1185.3994	1.4375	25.549732	2.864922	2311:16.578125,1100:15.140625,13653:13.84375,13:13.0859375,80291:12.953125,82:12.9375,43000:12.8828125,69377:12.7578125
89	177	320	1	-645.35547	-1216.8066	0.15625	24.76344	4.8764215	2311:14.6328125,13:14.4765625,43000:13.4140625,1100:13.3203125,13653:12.9921875,3915:12.765625,82:12.4921875,5435:12.390625
90	175	320	1	-645.9531	-1235.3115	1.140625	24.59688	3.7229607	2311:15.84375,13:14.703125,82:13.859375,1076:13.3671875,13653:13.2109375,1100:12.96875,5435:12.703125,682:12.4375
91	362	640	2	0.0	0.0	1.9453125	0.0	2.952339	2311:16.578125,1076:14.6328125,13:14.53125,82:14.0859375,13653:13.703125,1100:13.46875,5435:13.1171875,35742:12.515625
93	385	640	2	0.0	0.0	2.6640625	0.0	1.7810951	2311:17.4375,82:14.7734375,13:13.71875,1076:13.4453125,1100:13.328125,13653:13.1328125,35742:12.46875,5435:12.2734375
95	376	640	2	0.0	0.0	2.4375	0.0	1.5380566	2311:17.796875,82:15.359375,1076:14.625,13:14.2421875,1100:13.4296875,13653:12.96875,30:12.7109375,66:12.546875
97	416	640	2	0.0	0.0	2.9765625	0.0	1.3244927	2311:18.0,82:15.0234375,13:14.5703125,1076:14.3046875,1100:13.3984375,66:13.2890625,30:13.203125,329:13.03125
99	301	640	2	0.0	0.0	5.4140625	0.0	0.29314807	2311:19.78125,13:14.3671875,82:14.2265625,1100:14.203125,66:13.609375,1076:13.4296875,30:12.8828125,13653:12.140625
101	415	640	2	0.0	0.0	5.96875	0.0	0.14990984	2311:20.5,82:14.53125,13:14.1796875,1100:14.125,66:13.9609375,1076:12.9140625,30:12.5390625,13653:12.1171875
